20128009	95
20091701	36
20142505	74
20102806	44
20142508	82
20132808	36
20102203	36
20102808	132
20113103	86
20113105	61
20134308	0
20143607	112
20102829	41
20132527	65
20103306	23
20142535	135
20123120	43
20142538	49
20143121	95
20131709	70
20114123	93
20142551	47
20092850	48
20112567	63
20113123	63
20143217	44
20143131	39
20122216	137
20143134	75
20121123	209
20112579	51
20144326	0
20122121	62
20122218	48
20103317	21
20103319	25
20131121	79
20134339	4
20143221	116
20144337	78
20144338	15
20144340	37
20132582	36
20131123	190
20101722	93
20132229	42
20102903	41
20102908	30
20144347	3
20121133	33
20142897	11
20122609	77
20113151	79
20131726	95
20081519	37
20132613	51
20143229	30
20143230	83
20112633	34
20126282	104
20111239	43
20133161	162
20132933	0
20142236	17
20112944	103
20132144	56
20122150	110
20143243	46
20143167	41
20102952	96
20114157	72
